second,latency,status
0,2.5536141395568848,200
0,2.550771951675415,200
0,2.936894178390503,200
0,2.5491292476654053,200
0,2.5504488945007324,200
0,2.9366040229797363,200
0,2.933948040008545,200
1,4.042407751083374,200
1,4.042528867721558,200
1,4.037247180938721,200
1,4.0437822341918945,200
1,4.041393756866455,200
1,4.0420708656311035,200
2,3.0372579097747803,200
2,3.0372371673583984,200
2,3.0383269786834717,200
2,3.03787899017334,200
2,3.038045883178711,200
2,3.036515951156616,200
2,3.0359928607940674,200
3,4.1325929164886475,200
3,4.135440111160278,200
3,4.127720832824707,200
3,4.126933813095093,200
3,4.126903057098389,200
3,4.137290954589844,200
4,3.1375811100006104,200
4,3.134373903274536,200
4,3.134063959121704,200
4,3.1373839378356934,200
4,3.136461019515991,200
4,3.1362340450286865,200
4,3.1326329708099365,200
5,3.446152925491333,500
5,3.4459009170532227,200
5,3.445991039276123,200
5,3.6228740215301514,500
5,3.4458889961242676,200
5,3.442486047744751,200
5,3.445751905441284,200
5,3.4455859661102295,200
6,2.450659990310669,500
6,2.452725887298584,200
6,2.620748996734619,200
6,2.4525949954986572,500
6,2.6207079887390137,500
6,2.4506959915161133,500
6,2.448352813720703,500
7,2.300307035446167,500
7,2.310755968093872,500
7,2.3051950931549072,500
7,2.3104119300842285,500
7,2.3045289516448975,200
7,2.3048009872436523,500
7,2.303922176361084,500
8,1.3081679344177246,500
8,1.309255838394165,500
8,1.302638053894043,500
8,1.3058342933654785,200
8,1.307054042816162,500
8,1.3090941905975342,500
8,1.3083131313323975,500
9,1.030587911605835,500
9,0.3199307918548584,500
9,0.8635580539703369,200
9,0.863487958908081,200
9,0.863494873046875,500
9,0.8634769916534424,500
9,1.0303947925567627,200
9,0.5400910377502441,200
10,0.10353994369506836,500
10,0.4321248531341553,500
10,0.4563281536102295,500
10,0.45496511459350586,500
10,0.4320259094238281,200
10,0.4562957286834717,500
11,0.5222358703613281,500
11,0.5207881927490234,500
11,0.5229980945587158,500
11,0.521996021270752,200
11,0.5229198932647705,500
11,0.3487260341644287,200
11,0.5219368934631348,500
11,0.5190999507904053,500
11,0.5205087661743164,500
12,0.4883267879486084,500
12,0.48792505264282227,500
12,0.08965706825256348,500
12,0.5571739673614502,500
12,0.5579738616943359,500
12,0.5575330257415771,500
12,0.5575709342956543,500
12,0.5575389862060547,500
12,0.5571680068969727,500
13,0.24810004234313965,200
13,0.6382920742034912,500
13,0.07428717613220215,500
13,0.24800395965576172,500
13,0.6395812034606934,200
13,0.6397907733917236,200
13,0.639747142791748,500
14,0.610192060470581,200
14,0.7941420078277588,500
14,0.7923598289489746,200
14,0.7948529720306396,500
14,0.7948248386383057,500
14,0.7924129962921143,500
14,0.7906968593597412,500
15,0.8357748985290527,500
15,0.8347799777984619,500
15,0.8317091464996338,500
15,0.8357651233673096,500
15,0.8356971740722656,500
15,0.8342370986938477,500
15,0.6835217475891113,200
15,0.8341097831726074,200
15,0.8345522880554199,500
16,0.403062105178833,200
16,0.2652590274810791,500
16,0.08593583106994629,500
16,0.08505702018737793,500
16,0.4009389877319336,500
16,0.4016249179840088,500
16,0.41397595405578613,500
