second,latency,status
0,4.374588251113892,200
0,3.3519532680511475,200
0,3.330467939376831,200
0,2.541154146194458,200
0,3.325371265411377,200
0,3.3215649127960205,200
0,3.32374119758606,200
1,3.3745720386505127,200
1,3.3743720054626465,200
1,3.37398099899292,200
1,3.374176025390625,200
1,3.374112844467163,200
1,3.373964071273804,200
2,4.533610820770264,200
2,4.540427923202515,200
2,4.542114973068237,200
2,4.540641069412232,200
2,4.539897918701172,200
2,4.540986061096191,200
2,4.539316892623901,200
3,3.536762952804565,200
3,3.531445980072021,200
3,3.5307116508483887,200
3,3.5361480712890625,200
3,3.5359771251678467,200
3,3.5357859134674072,200
4,3.6259782314300537,200
4,3.625943899154663,200
4,3.6260910034179688,200
4,3.625684976577759,200
4,3.6256918907165527,200
4,3.62577486038208,200
4,3.6253719329833984,200
5,4.82677698135376,200
5,4.8264548778533936,200
5,4.8251471519470215,200
5,4.822767734527588,200
5,4.823179244995117,200
5,4.825799226760864,200
5,4.824105978012085,200
5,4.824754953384399,200
6,3.9225568771362314,200
6,3.822460889816284,200
6,3.822453022003174,200
6,3.821065902709961,200
6,3.8217830657958975,200
6,3.821286916732788,200
6,3.81950306892395,200
7,4.8199872970581055,200
7,4.825094223022461,200
7,4.824498891830444,200
7,4.825047969818115,200
7,4.824116945266724,200
7,4.8231611251831055,200
7,4.823284864425659,200
8,3.823557138442993,200
8,4.245173931121826,200
8,3.8246331214904794,200
8,3.824637889862061,200
8,3.823738813400269,200
8,4.273386001586914,200
8,3.825007915496826,200
9,5.725095987319946,200
9,5.725260019302368,200
9,5.724624872207642,200
9,5.725046157836914,200
9,5.724995851516724,200
9,5.724135875701904,200
9,5.724159002304077,200
9,5.723135948181152,200
10,4.724647045135498,200
10,4.724177837371826,200
10,4.723947048187256,200
10,4.7236716747283936,200
10,4.722980260848999,200
10,4.722481966018677,200
11,7.816078901290893,200
11,6.103693962097168,200
11,6.100805997848511,200
11,7.818166017532349,200
11,6.10350489616394,200
11,6.104688882827759,200
11,6.100116014480591,200
11,6.10050892829895,200
11,6.099363803863525,200
12,5.10425591468811,200
12,5.100575923919678,200
12,6.815140247344971,200
12,6.816404819488525,200
12,6.816628932952881,200
12,6.816481113433838,200
12,5.098423004150391,200
12,5.102395057678223,200
12,6.816794872283936,200
13,4.103241920471191,200
13,5.816566228866577,200
13,4.087706089019775,200
13,5.805459022521973,200
13,5.805256843566895,200
13,5.804530143737793,200
13,4.091829061508179,200
14,7.617657899856567,200
14,7.618188858032227,200
14,7.618642330169678,200
14,9.906968832015991,200
14,7.617153167724609,200
14,7.617268085479736,200
14,7.61381721496582,200
15,6.61759614944458,200
15,6.616905927658081,200
15,6.617045879364014,200
15,6.617242097854614,200
15,6.617018222808838,200
15,6.616607904434204,200
15,6.616831064224243,200
15,6.616391181945801,200
15,6.615632057189941,200
16,7.900143146514893,200
16,7.90024209022522,200
16,7.90208911895752,200
16,7.902400016784668,200
16,7.902764081954956,200
16,7.902427911758423,200
16,7.895586967468262,200
17,6.896068096160889,200
17,6.8958740234375,200
17,6.897237062454224,200
17,6.897967100143433,200
17,6.897890090942383,200
17,6.897476673126221,200
17,6.897773027420044,200
18,9.223315954208374,200
18,14.713186025619509,200
18,9.238760948181152,200
18,9.225934743881226,200
18,9.240801811218262,200
18,9.238083124160768,200
18,9.238425970077516,200
18,9.226715803146362,200
19,8.228438138961792,200
19,8.223541021347046,200
19,8.22672414779663,200
19,8.230949878692627,200
19,8.226642370223999,200
19,11.1041259765625,200
19,8.226293087005615,200
19,8.238282918930054,200
20,7.225786924362183,200
20,7.237327814102173,200
20,7.237046957015991,200
20,7.222274780273437,200
20,7.22524881362915,200
20,7.222866058349609,200
20,7.225729942321777,200
20,7.228819847106934,200
21,9.092813968658447,200
21,9.093269109725952,200
21,9.094109058380129,200
21,9.09410285949707,200
21,9.094311952590942,200
21,9.094698905944824,200
21,9.090065002441406,200
22,8.073790073394775,200
22,8.073226928710938,200
22,8.074867010116577,200
22,8.074644088745117,200
22,8.07480502128601,200
22,8.074667930603027,200
23,9.695908069610596,200
23,12.882435083389282,200
23,12.876422882080078,200
23,9.69674277305603,200
23,9.696185827255247,200
23,9.696558237075806,200
23,9.692548990249634,200
24,8.69714617729187,200
24,11.882421016693115,200
24,8.696831941604614,200
24,8.696814060211182,200
24,8.696841955184937,200
25,7.695139646530151,200
25,7.695038795471191,200
25,10.883650064468384,200
25,7.694839715957642,200
25,7.694293975830078,200
25,7.694205045700073,200
25,7.681704044342041,200
26,14.18077278137207,200
26,9.880820035934448,200
26,9.879729986190796,200
26,9.882565259933472,200
26,9.878640174865724,200
26,9.878687858581545,200
26,9.879141092300417,200
26,9.878440856933594,200
27,8.877872228622437,200
27,13.17657709121704,200
27,8.877444982528687,200
27,13.193196773529053,200
27,13.19010615348816,200
27,8.877409219741821,200
27,13.19106912612915,200
27,13.1877338886261,200
27,8.877091646194458,200
27,13.186737775802612,200
28,7.874574899673462,200
28,7.874591827392578,200
28,12.184879779815674,200
28,12.188374042510986,200
28,12.189717054367064,200
28,12.18828797340393,200
28,7.874358892440796,200
29,11.18419098854065,200
29,11.18535017967224,200
29,11.174762964248655,200
29,11.18403673171997,200
29,11.183608055114746,200
30,13.160301923751833,200
30,10.174070119857788,200
30,10.180046081542969,200
30,10.175570249557495,200
30,13.156486988067629,200
30,10.178166151046751,200
30,10.173585891723633,200
30,13.158210039138794,200
31,9.172181129455566,200
31,12.15516972541809,200
31,9.177046060562134,200
31,9.17712116241455,200
31,12.15241003036499,200
31,9.176974058151243,200
31,9.177794694900513,200
32,11.150271892547607,200
32,14.857133865356444,200
32,11.152244806289673,200
32,14.85435700416565,200
32,11.150491952896118,200
32,14.855718851089478,200
32,11.149435997009276,200
32,14.854180097579956,200
33,13.852768898010254,200
33,10.147670030593872,200
33,10.149667024612429,200
33,10.14584994316101,200
33,10.147751092910768,200
33,13.851339101791382,200
34,9.144880294799805,200
34,12.851217985153198,200
34,12.852926969528198,200
34,12.849090099334717,200
34,9.140522003173828,200
34,9.14348316192627,200
34,9.143038988113403,200
34,9.14211368560791,200
35,16.027983903884888,200
35,16.028663158416748,200
35,11.846704959869385,200
35,11.845532178878784,200
35,11.846237897872925,200
35,16.026273012161255,200
36,10.845287322998049,200
36,10.847776651382446,200
36,10.84569525718689,200
36,15.03181290626526,200
36,15.03269100189209,200
36,15.030503034591677,200
36,15.02550721168518,200
37,14.025781869888306,200
37,14.0256609916687,200
37,9.841933727264404,200
37,9.841049194335938,200
37,9.841614961624146,200
37,14.020281791687012,200
37,9.839862823486328,200
37,9.836121797561646,200
38,8.837613105773926,200
38,8.837309122085571,200
38,8.836770057678223,200
38,8.83564305305481,200
38,13.020502090454102,200
38,8.836281061172485,200
39,12.019331693649292,200
39,12.020272254943848,200
39,12.019826889038086,200
39,15.944622039794922,200
39,12.017803192138672,200
39,12.018938064575195,200
39,12.019121885299684,200
39,12.016196250915527,200
40,11.01646614074707,200
40,14.94161581993103,200
40,11.015516757965088,200
40,14.940857172012327,200
40,11.015256881713867,200
40,11.014802932739258,200
40,11.015217065811155,200
41,10.012706995010376,200
41,13.93801498413086,200
41,10.01266098022461,200
41,10.012497901916504,200
41,10.012416124343872,200
41,13.933877944946287,200
41,13.934001207351685,200
42,16.434368133544922,200
42,12.932965993881226,200
42,12.932076930999756,200
42,12.932470083236694,200
42,16.42958903312683,200
42,20.51271915435791,200
43,11.930886030197144,200
43,11.931769132614136,200
43,11.92985773086548,200
43,11.930991172790527,200
43,11.931396007537842,200
43,11.92962098121643,200
44,14.43166708946228,200
44,10.928947925567629,200
44,10.930148839950562,200
44,10.92851209640503,200
44,10.927361726760864,200
44,10.92804718017578,200
45,9.930160760879517,200
45,9.929601907730104,200
45,9.92956018447876,200
45,9.930261850357056,200
45,9.929548025131226,200
45,9.929795980453491,200
