second,latency,status
0,9.877995014190674,200
0,6.11003041267395,200
0,9.885029792785645,200
0,9.884685039520264,200
0,5.590223550796509,200
0,9.832817554473877,200
0,9.881391525268555,200
1,12.459013938903809,200
1,8.850408554077148,200
1,9.300557851791382,200
1,12.38962697982788,200
1,12.367408990859985,200
1,8.747275590896606,200
2,11.3697190284729,200
2,13.438859224319458,200
2,14.958912372589111,200
2,11.250783443450928,200
2,11.222506284713745,200
2,13.278234481811523,200
2,14.210500717163086,200
3,12.402037858963013,200
3,14.753322124481201,200
3,16.265437364578247,200
3,13.256328344345093,200
3,12.24672794342041,200
3,18.455116748809814,200
4,20.55316185951233,200
4,17.676323890686035,200
4,16.330240488052368,200
4,21.760292291641235,200
4,30.31819200515747,200
4,17.35444927215576,200
4,18.416048526763916,200
5,27.963040590286255,200
5,28.478586196899414,200
5,17.613855838775635,200
5,19.786105394363403,200
5,23.239070653915405,500
5,21.4997079372406,200
5,26.47082543373108,200
5,23.058735132217407,200
6,28.334659337997437,200
6,25.51757264137268,200
6,33.599843978881836,500
6,35.06181573867798,500
6,26.76152777671814,200
6,26.482876777648926,200
6,33.97661542892456,200
7,30.0176100730896,200
7,27.21028757095337,500
7,30.271443843841553,500
7,30.148783445358276,200
7,41.617427825927734,200
7,30.654654502868652,500
7,29.83724856376648,500
8,41.36854600906372,500
8,34.055481910705566,500
8,40.96120476722717,500
8,31.300904750823975,500
8,38.05315852165222,500
8,41.79159235954285,500
8,32.67118716239929,500
9,37.321542501449585,200
9,39.9571168422699,500
9,39.9572594165802,200
9,39.957923889160156,500
9,29.99495577812195,200
9,38.621134996414185,200
9,44.222495794296265,200
9,39.950690269470215,500
10,37.554078102111816,200
10,40.846421003341675,500
10,38.534589529037476,200
10,30.49000835418701,200
10,38.83510422706604,500
10,47.14301538467407,200
11,47.34424376487732,500
11,38.72046875953674,200
11,41.7750084400177,200
11,38.21549391746521,500
11,46.134127616882324,200
11,45.9966721534729,200
11,41.26911520957947,500
11,46.53148889541626,500
11,50.458507776260376,200
12,40.83793568611145,200
12,41.26113319396973,200
12,50.15329051017761,500
12,36.618102073669434,500
12,40.610812187194824,200
12,45.1774525642395,500
12,45.968642473220825,200
12,52.27836751937866,500
12,50.01500606536865,500
13,51.225977182388306,500
13,48.85629177093506,500
13,43.83226037025452,200
13,45.949105978012085,200
13,45.84341597557068,200
13,44.13461637496948,500
13,48.08705449104309,200
14,42.95336079597473,500
14,42.95309519767761,200
14,50.12915825843811,200
14,43.744035482406616,200
14,47.68731737136841,200
14,47.47749090194702,500
14,47.41674304008484,200
15,46.67662310600281,500
15,44.08480262756348,500
15,46.53364396095276,500
15,41.596044301986694,200
15,50.3459894657135,500
15,48.489155769348145,500
15,46.214024782180786,500
15,43.53092908859253,500
15,45.98454570770264,500
16,49.34327149391174,500
16,53.8660683631897,200
16,40.26730751991272,500
16,45.14143204689026,500
16,47.247262954711914,200
16,53.51297688484192,500
16,44.77978467941284,500
17,56.910930156707764,500
17,41.41362929344177,200
17,56.47607636451721,200
17,52.30889916419983,200
17,47.5003228187561,200
17,47.34048867225647,500
17,51.57834339141846,500
18,51.81785583496094,200
18,55.38724136352539,500
18,44.8236083984375,500
18,51.02688193321228,500
18,54.97746419906616,200
18,54.70332932472229,200
18,50.640010595321655,500
18,45.93767738342285,500
19,45.753159523010254,500
19,50.47311210632324,500
19,45.71150302886963,200
19,45.62059736251831,200
19,50.404407262802124,500
19,50.21939158439636,200
19,43.828959703445435,500
19,54.04338884353638,500
20,49.274930238723755,500
20,53.321500062942505,200
20,49.129311323165894,500
20,44.35533690452576,500
20,44.28807830810547,500
20,49.0173282623291,500
20,48.97274470329285,500
20,48.897444009780884,500
21,41.66731524467468,200
21,47.976969957351685,200
21,51.709712982177734,200
21,42.81156063079834,200
21,51.553998708724976,500
21,42.74042773246765,500
21,47.54488730430603,500
22,42.206310510635376,200
22,47.12222981452942,200
22,46.532347202301025,500
22,46.46238327026367,500
22,50.61353087425232,200
22,50.22938132286072,500
23,49.963120222091675,500
23,45.74401307106018,500
23,49.71968626976013,200
23,49.736602783203125,200
23,45.57916450500488,500
23,49.24698042869568,200
23,49.228997468948364,500
24,44.73280429840088,500
24,48.60159254074097,200
24,48.41547751426697,200
24,44.327767848968506,200
24,48.25803065299988,500
25,43.60773253440857,500
25,47.437190532684326,500
25,43.577232122421265,500
25,47.11733269691467,500
25,47.065555810928345,200
25,43.309553384780884,500
25,43.096354246139526,200
26,40.352272748947144,500
26,44.255516052246094,200
26,43.113977909088135,500
26,39.14066243171692,500
26,38.84149217605591,500
26,42.50581669807434,500
26,37.61927604675293,500
26,37.785592794418335,200
27,41.39978098869324,200
27,34.86612939834595,500
27,34.35808610916138,500
27,34.45956873893738,200
27,38.26379060745239,500
27,37.56894040107727,200
27,32.49150824546814,500
27,32.41197347640991,500
27,36.07518768310547,200
27,31.771897077560425,200
