second,latency,status
0,1.822800874710083,200
0,1.819953203201294,200
0,2.0334410667419434,200
0,2.0343358516693115,200
0,1.821040153503418,200
0,1.8194060325622559,200
0,1.8202831745147705,200
1,1.8253059387207031,200
1,1.8252160549163818,200
1,1.939871072769165,200
1,1.8246710300445557,200
1,1.825110912322998,200
1,1.824796199798584,200
2,1.9256691932678223,200
2,1.9244701862335205,200
2,1.9242479801177979,200
2,1.9254558086395264,200
2,1.9254138469696045,200
2,1.9253711700439453,200
2,1.9248640537261963,200
3,1.822739839553833,200
3,1.8223381042480469,200
3,1.822443962097168,200
3,1.82240891456604,200
3,1.8223462104797363,200
3,1.82259202003479,200
4,1.9224040508270264,200
4,1.923417091369629,200
4,1.9231770038604736,200
4,1.9200310707092285,200
4,1.9232819080352783,200
4,1.9223620891571045,200
4,1.9233391284942627,200
5,2.014251947402954,200
5,3.3399641513824463,200
5,2.0144081115722656,200
5,2.0137598514556885,200
5,2.014434814453125,200
5,2.0131051540374756,200
5,2.0116710662841797,200
5,2.014540910720825,200
6,2.3347198963165283,200
6,2.3345210552215576,200
6,2.3346869945526123,200
6,2.334535837173462,200
6,2.334580898284912,200
6,2.334531784057617,200
6,2.334257125854492,200
7,3.227266788482666,200
7,3.228602886199951,200
7,3.2269058227539062,200
7,3.226447820663452,200
7,3.228142738342285,200
7,3.22802472114563,200
7,3.227921962738037,200
8,2.2220659255981445,200
8,2.2238309383392334,200
8,2.223790168762207,200
8,2.223742961883545,200
8,2.2227377891540527,200
8,2.2236599922180176,200
8,2.3930680751800537,200
9,2.6079630851745605,200
9,2.608281135559082,200
9,2.6077828407287598,200
9,2.606732130050659,200
9,2.6066439151763916,200
9,2.6087522506713867,200
9,2.6076738834381104,200
9,2.608062982559204,200
10,2.2580368518829346,200
10,2.2575950622558594,200
10,2.257750988006592,200
10,2.2575600147247314,200
10,2.7073729038238525,500
10,2.7072031497955322,500
11,1.7003588676452637,200
11,1.7039458751678467,500
11,2.2792932987213135,200
11,1.7013850212097168,200
11,1.7015609741210938,500
11,1.7023918628692627,500
11,1.7034969329833984,500
11,1.703495979309082,500
11,1.7011802196502686,200
12,1.4846420288085938,200
12,1.277899980545044,200
