second,latency,status
0,1.3209168910980225,200
0,1.3215818405151367,200
0,1.717439889907837,200
0,1.715400218963623,200
0,1.7171599864959717,200
0,1.3171141147613525,200
0,1.3173840045928955,200
1,1.625913143157959,200
1,1.6254856586456299,200
1,1.624697208404541,200
1,1.6247889995574951,200
1,1.6248319149017334,200
1,1.6243069171905518,200
2,1.6332180500030518,200
2,1.631615161895752,200
2,1.6317439079284668,200
2,1.6321160793304443,200
2,1.6325421333312988,200
2,1.6323649883270264,200
2,1.6322147846221924,200
3,1.7206509113311768,200
3,1.7196311950683594,200
3,1.7202889919281006,200
3,1.7197511196136475,200
3,1.7204041481018066,200
3,1.7206571102142334,200
4,1.7099831104278564,200
4,1.8402328491210938,200
4,1.7088449001312256,200
4,1.708894968032837,200
4,1.7057478427886963,200
4,1.7083117961883545,200
4,1.7084178924560547,200
5,2.3117048740386963,200
5,2.3142709732055664,200
5,2.311753273010254,200
5,2.3070201873779297,200
5,2.3125100135803223,200
5,2.312410831451416,200
5,2.3113648891448975,200
5,2.3119919300079346,200
6,2.3444406986236572,200
6,2.344473123550415,200
6,2.343776226043701,200
6,2.3435487747192383,200
6,2.3372068405151367,200
6,2.334864854812622,200
6,2.3441691398620605,200
7,2.807356834411621,200
7,2.215388298034668,200
7,2.2141177654266357,200
7,2.21409010887146,200
7,2.2099661827087402,200
7,2.214264154434204,200
7,2.210160255432129,200
8,1.807582139968872,200
8,2.3887171745300293,200
8,1.806882619857788,200
8,2.392665147781372,200
8,2.3934409618377686,200
8,2.394245147705078,200
8,1.807081937789917,200
9,2.6323859691619873,200
9,2.632173776626587,200
9,2.6328909397125244,200
9,2.6328208446502686,200
9,2.6328561305999756,200
9,2.632838010787964,200
9,2.6326849460601807,200
9,2.632802963256836,200
10,2.699836254119873,200
10,2.6997790336608887,200
10,2.6995019912719727,200
10,2.6996212005615234,200
10,2.6995511054992676,200
10,2.6991019248962402,200
11,3.092546224594116,200
11,3.0931200981140137,200
11,3.0920250415802,200
11,3.0910210609436035,200
11,3.092968225479126,200
11,3.093043088912964,200
11,3.0932302474975586,200
11,3.0907719135284424,200
11,3.0943140983581543,200
12,3.4339756965637207,200
12,4.507356882095337,200
12,3.435001850128174,200
12,3.4340810775756836,200
12,3.4338791370391846,200
12,3.4345879554748535,200
12,3.4343149662017822,200
12,3.426405906677246,200
12,3.433955192565918,200
13,3.5072178840637207,200
13,3.5058979988098145,200
13,3.506991147994995,200
13,4.697345972061157,200
13,3.5064640045166016,200
13,3.5059499740600586,200
13,3.5065808296203613,200
14,3.693535089492798,200
14,3.693756103515625,200
14,3.693665027618408,200
14,3.6934731006622314,200
14,3.6934280395507812,200
14,3.6932647228240967,200
14,3.692828893661499,200
15,5.436156272888184,200
15,5.435514211654663,200
15,5.435567855834961,200
15,5.436478853225708,200
15,5.436617851257324,200
15,5.43598484992981,200
15,5.433560848236084,200
15,5.435227155685425,200
15,5.4361348152160645,200
16,4.436178922653198,200
16,4.435042142868042,200
16,4.4357099533081055,200
16,4.43578577041626,200
16,4.435870885848999,200
16,4.435682773590088,200
16,4.435800790786743,200
17,4.491241931915283,200
17,4.487677097320557,200
17,4.4912331104278564,200
17,4.490767002105713,200
17,4.4905619621276855,200
17,4.487768888473511,200
17,4.487606048583984,200
18,5.873265981674194,200
18,5.879851818084717,200
18,5.878564119338989,200
18,5.879106044769287,200
18,5.875071048736572,200
18,5.878598213195801,200
18,5.874357223510742,200
18,5.879823207855225,200
19,4.877778768539429,200
19,7.407923221588135,200
19,4.876962900161743,200
19,4.876651048660278,200
19,4.876175880432129,200
19,4.8760271072387695,200
19,4.875764846801758,200
19,4.875602960586548,200
20,6.405922174453735,200
20,6.4035420417785645,200
20,6.40444016456604,200
20,6.4021477699279785,200
20,6.399505138397217,200
20,6.40134596824646,200
20,6.40104603767395,200
20,6.395856857299805,200
21,5.400561809539795,200
21,5.400493144989014,200
21,5.401747941970825,200
21,5.401904821395874,200
21,5.39679217338562,200
21,5.40182900428772,200
21,5.401844024658203,200
22,6.46884822845459,200
22,6.469110012054443,200
22,6.469157934188843,200
22,6.469166278839111,200
22,6.4684038162231445,200
22,6.467882871627808,200
23,5.464614152908325,200
23,5.464086055755615,200
23,5.464203834533691,200
23,5.46406888961792,200
23,5.4641289710998535,200
23,5.4643449783325195,200
23,5.464379787445068,200
